bID,pID,AB,H,PA,RL,SAC,SO,TB,W,matchID,AVG,OBP,ov_AB,ov_H,ov_PA,ov_SAC,ov_SO,ov_TB,ov_W,ov_FACED,ov_AVG,ov_OBP,ov_SO_PCT,ov_W_PCT,ov_H_PCT,ovp_AB,ovp_H,ovp_PA,ovp_SAC,ovp_SO,ovp_TB,ovp_W,ovp_FACED,ovp_SO_PCT,ovp_W_PCT,ovp_H_PCT,ovp_AVG,ovp_OBP
willj004,oswar001,21,6,28,R,0,4,10,7,willj004_oswar001,0.285714285714,0.464285714286,373,86,448,2,112,211,75,15,0.230563002681,0.359375,0.25,0.167410714286,0.191964285714,2720,767,2929,37,530,1475,209,76,0.180949129396,0.0713554114032,0.261864117446,0.281985294118,0.333219528849
willj004,peavj001,21,2,26,R,0,6,4,5,willj004_peavj001,0.0952380952381,0.269230769231,373,86,448,2,112,211,75,15,0.230563002681,0.359375,0.25,0.167410714286,0.191964285714,2148,560,2394,22,503,1113,246,67,0.210108604845,0.102756892231,0.233918128655,0.260707635009,0.336675020886
willj004,pereo002,29,8,39,L,1,7,22,10,willj004_pereo002,0.275862068966,0.461538461538,373,86,448,2,112,211,75,15,0.230563002681,0.359375,0.25,0.167410714286,0.191964285714,657,191,785,11,153,434,128,23,0.194904458599,0.163057324841,0.243312101911,0.290715372907,0.406369426752
willj004,porcr001,24,9,30,R,0,8,23,6,willj004_porcr001,0.375,0.5,373,86,448,2,112,211,75,15,0.230563002681,0.359375,0.25,0.167410714286,0.191964285714,1027,290,1110,10,155,532,83,32,0.13963963964,0.0747747747748,0.261261261261,0.282375851996,0.336036036036
willj004,salec001,26,5,32,L,0,13,7,6,willj004_salec001,0.192307692308,0.34375,373,86,448,2,112,211,75,15,0.230563002681,0.359375,0.25,0.167410714286,0.191964285714,495,135,553,3,123,254,58,16,0.222423146474,0.104882459313,0.244122965642,0.272727272727,0.349005424955
willj004,sanca004,17,2,26,R,0,8,2,9,willj004_sanca004,0.117647058824,0.423076923077,373,86,448,2,112,211,75,15,0.230563002681,0.359375,0.25,0.167410714286,0.191964285714,685,181,783,1,159,326,98,22,0.2030651341,0.125159642401,0.231162196679,0.264233576642,0.35632183908
willj004,schem001,25,6,29,R,0,11,16,4,willj004_schem001,0.24,0.344827586207,373,86,448,2,112,211,75,15,0.230563002681,0.359375,0.25,0.167410714286,0.191964285714,1025,266,1116,11,246,530,91,29,0.220430107527,0.081541218638,0.23835125448,0.259512195122,0.319892473118
willj004,shiej002,26,9,30,R,1,7,17,4,willj004_shiej002,0.346153846154,0.433333333333,373,86,448,2,112,211,75,15,0.230563002681,0.359375,0.25,0.167410714286,0.191964285714,3304,905,3550,24,654,1785,246,85,0.184225352113,0.0692957746479,0.254929577465,0.273910411622,0.324225352113
willj004,wilsc004,27,9,28,L,0,7,27,1,willj004_wilsc004,0.333333333333,0.357142857143,373,86,448,2,112,211,75,15,0.230563002681,0.359375,0.25,0.167410714286,0.191964285714,1162,279,1325,6,262,525,163,41,0.197735849057,0.123018867925,0.210566037736,0.240103270224,0.33358490566
gutir001,glavt001,31,9,33,L,2,6,11,2,gutir001_glavt001,0.290322580645,0.333333333333,238,53,254,4,34,88,16,8,0.22268907563,0.271653543307,0.133858267717,0.0629921259843,0.208661417323,5166,1496,5805,58,642,2776,639,114,0.110594315245,0.11007751938,0.257708871662,0.289585753,0.367786391042
gutir001,harnp001,26,6,30,R,0,6,10,4,gutir001_harnp001,0.230769230769,0.333333333333,238,53,254,4,34,88,16,8,0.22268907563,0.271653543307,0.133858267717,0.0629921259843,0.208661417323,922,279,1023,13,155,630,101,27,0.151515151515,0.0987292277615,0.272727272727,0.302603036876,0.371456500489
gutir001,kiled001,31,6,37,R,0,5,9,6,gutir001_kiled001,0.193548387097,0.324324324324,238,53,254,4,34,88,16,8,0.22268907563,0.271653543307,0.133858267717,0.0629921259843,0.208661417323,1937,556,2185,25,363,1146,248,51,0.166132723112,0.113501144165,0.254462242563,0.287041817243,0.367963386728
gutir001,maddg002,36,7,36,R,0,3,17,0,gutir001_maddg002,0.194444444444,0.194444444444,238,53,254,4,34,88,16,8,0.22268907563,0.271653543307,0.133858267717,0.0629921259843,0.208661417323,5575,1564,5939,81,846,2837,364,120,0.142448223607,0.0612897794241,0.263343997306,0.280538116592,0.32463377673
gutir001,reedr002,30,6,30,R,0,3,10,0,gutir001_reedr002,0.2,0.2,238,53,254,4,34,88,16,8,0.22268907563,0.271653543307,0.133858267717,0.0629921259843,0.208661417323,690,198,736,7,107,432,46,23,0.145380434783,0.0625,0.26902173913,0.286956521739,0.33152173913
gutir001,ritct001,35,10,35,R,1,2,14,0,gutir001_ritct001,0.285714285714,0.285714285714,238,53,254,4,34,88,16,8,0.22268907563,0.271653543307,0.133858267717,0.0629921259843,0.208661417323,278,92,301,5,33,162,23,10,0.109634551495,0.0764119601329,0.305647840532,0.330935251799,0.382059800664
gutir001,ruetk001,26,3,27,L,0,4,5,1,gutir001_ruetk001,0.115384615385,0.148148148148,238,53,254,4,34,88,16,8,0.22268907563,0.271653543307,0.133858267717,0.0629921259843,0.208661417323,2168,628,2402,26,189,1213,234,61,0.078684429642,0.097418817652,0.261448792673,0.289667896679,0.358867610325
gutir001,tracs001,23,6,26,R,1,5,12,3,gutir001_tracs001,0.260869565217,0.346153846154,238,53,254,4,34,88,16,8,0.22268907563,0.271653543307,0.133858267717,0.0629921259843,0.208661417323,3034,909,3439,42,446,1920,405,85,0.129688863042,0.117766792672,0.264321023553,0.299604482531,0.382087816226
vicid001,chenb001,34,11,35,L,0,7,23,1,vicid001_chenb001,0.323529411765,0.342857142857,180,47,187,1,38,97,7,6,0.261111111111,0.288770053476,0.20320855615,0.0374331550802,0.251336898396,1106,313,1224,13,181,664,118,36,0.147875816993,0.0964052287582,0.255718954248,0.283001808318,0.352124183007
vicid001,guthj001,28,5,28,R,0,9,11,0,vicid001_guthj001,0.178571428571,0.178571428571,180,47,187,1,38,97,7,6,0.261111111111,0.288770053476,0.20320855615,0.0374331550802,0.251336898396,2362,681,2604,32,331,1403,242,66,0.127112135177,0.0929339477727,0.261520737327,0.288314987299,0.3544546851
vicid001,porcr001,30,7,32,R,0,3,13,2,vicid001_porcr001,0.233333333333,0.28125,180,47,187,1,38,97,7,6,0.261111111111,0.288770053476,0.20320855615,0.0374331550802,0.251336898396,1027,290,1110,10,155,532,83,32,0.13963963964,0.0747747747748,0.261261261261,0.282375851996,0.336036036036
vicid001,schem001,31,9,32,R,1,10,26,1,vicid001_schem001,0.290322580645,0.3125,180,47,187,1,38,97,7,6,0.261111111111,0.288770053476,0.20320855615,0.0374331550802,0.251336898396,1025,266,1116,11,246,530,91,29,0.220430107527,0.081541218638,0.23835125448,0.259512195122,0.319892473118
vicid001,shiej002,31,8,33,R,0,5,8,2,vicid001_shiej002,0.258064516129,0.30303030303,180,47,187,1,38,97,7,6,0.261111111111,0.288770053476,0.20320855615,0.0374331550802,0.251336898396,3304,905,3550,24,654,1785,246,85,0.184225352113,0.0692957746479,0.254929577465,0.273910411622,0.324225352113
vicid001,verlj001,26,7,27,R,0,4,16,1,vicid001_verlj001,0.269230769231,0.296296296296,180,47,187,1,38,97,7,6,0.261111111111,0.288770053476,0.20320855615,0.0374331550802,0.251336898396,3369,877,3684,33,738,1626,315,85,0.200325732899,0.0855048859935,0.238056460369,0.260314633422,0.323561346363
palmr001,abboj001,52,17,57,L,1,3,41,5,palmr001_abboj001,0.326923076923,0.385964912281,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,684,205,760,9,73,369,76,18,0.0960526315789,0.1,0.269736842105,0.299707602339,0.369736842105
palmr001,alvaw001,32,14,38,L,0,2,34,6,palmr001_alvaw001,0.4375,0.526315789474,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,1041,299,1190,17,150,574,149,31,0.126050420168,0.125210084034,0.251260504202,0.287223823247,0.376470588235
palmr001,andeb002,28,9,31,L,0,0,21,3,palmr001_andeb002,0.321428571429,0.387096774194,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,913,278,990,9,83,629,77,32,0.0838383838384,0.0777777777778,0.280808080808,0.304490690033,0.358585858586
palmr001,appik001,77,17,91,R,2,16,43,14,palmr001_appik001,0.220779220779,0.340659340659,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,2016,539,2298,27,378,1067,282,48,0.164490861619,0.1227154047,0.23455178416,0.267361111111,0.35726718886
palmr001,baldj002,53,9,58,R,1,12,29,5,palmr001_baldj002,0.169811320755,0.241379310345,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,1118,325,1256,11,173,707,138,36,0.137738853503,0.109872611465,0.258757961783,0.290697674419,0.368630573248
palmr001,belct001,35,13,41,R,1,4,29,6,palmr001_belct001,0.371428571429,0.463414634146,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,1358,398,1537,24,178,824,179,42,0.115810019519,0.116460637606,0.258945998699,0.293078055965,0.375406636304
palmr001,berej002,23,5,29,R,0,3,9,6,palmr001_berej002,0.217391304348,0.379310344828,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,220,72,251,0,39,154,31,7,0.155378486056,0.123505976096,0.286852589641,0.327272727273,0.410358565737
palmr001,boddm001,31,8,34,R,0,1,16,3,palmr001_boddm001,0.258064516129,0.323529411765,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,249,57,275,4,33,112,26,7,0.12,0.0945454545455,0.207272727273,0.228915662651,0.301818181818
palmr001,boner001,33,6,37,R,0,0,10,4,palmr001_boner001,0.181818181818,0.27027027027,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,423,111,465,3,32,219,42,14,0.0688172043011,0.0903225806452,0.238709677419,0.262411347518,0.329032258065
palmr001,bosic001,62,21,65,R,0,8,36,3,palmr001_bosic001,0.338709677419,0.369230769231,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,515,148,560,9,64,247,45,15,0.114285714286,0.0803571428571,0.264285714286,0.287378640777,0.344642857143
palmr001,candt001,25,11,29,R,0,4,29,4,palmr001_candt001,0.44,0.51724137931,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,876,251,961,13,140,519,85,24,0.145681581686,0.0884495317378,0.261186264308,0.286529680365,0.349635796046
palmr001,carpc002,26,8,27,R,1,4,24,1,palmr001_carpc002,0.307692307692,0.333333333333,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,2523,692,2758,29,453,1357,235,83,0.164249456128,0.0852066715011,0.250906453952,0.274276654776,0.336113125453
palmr001,clemr001,93,30,110,R,1,19,50,17,palmr001_clemr001,0.322580645161,0.427272727273,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,4029,986,4504,45,950,1886,475,95,0.210923623446,0.105461811723,0.21891651865,0.244725738397,0.324378330373
palmr001,colob001,33,8,35,R,1,8,20,2,palmr001_colob001,0.242424242424,0.285714285714,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,3625,1007,3960,41,707,2083,335,103,0.178535353535,0.084595959596,0.254292929293,0.277793103448,0.338888888889
palmr001,coned001,58,18,77,R,0,9,35,19,palmr001_coned001,0.310344827586,0.480519480519,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,1775,451,2040,26,400,893,265,51,0.196078431373,0.129901960784,0.221078431373,0.254084507042,0.350980392157
palmr001,darlr001,51,15,54,R,0,4,25,3,palmr001_darlr001,0.294117647059,0.333333333333,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,366,100,410,4,48,191,44,10,0.117073170732,0.107317073171,0.243902439024,0.273224043716,0.351219512195
palmr001,darwd001,44,14,49,R,1,4,32,5,palmr001_darwd001,0.318181818182,0.387755102041,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,375,117,416,6,43,224,41,12,0.103365384615,0.0985576923077,0.28125,0.312,0.379807692308
palmr001,drabd001,30,9,32,R,0,4,21,2,palmr001_drabd001,0.3,0.34375,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,895,262,971,7,141,480,76,23,0.145211122554,0.0782698249228,0.26982492276,0.292737430168,0.348094747683
palmr001,eldrc001,25,9,28,R,1,2,19,3,palmr001_eldrc001,0.36,0.428571428571,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,415,122,484,7,55,241,69,13,0.113636363636,0.142561983471,0.252066115702,0.293975903614,0.394628099174
palmr001,erics001,52,15,60,R,1,6,31,8,palmr001_erics001,0.288461538462,0.383333333333,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,2080,647,2352,22,254,1241,272,52,0.107993197279,0.115646258503,0.275085034014,0.311057692308,0.390731292517
palmr001,escok001,25,6,28,R,0,0,12,3,palmr001_escok001,0.24,0.321428571429,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,1588,421,1795,16,328,791,207,50,0.182729805014,0.115320334262,0.234540389972,0.265113350126,0.349860724234
palmr001,fassj001,26,10,29,L,0,4,14,3,palmr001_fassj001,0.384615384615,0.448275862069,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,1259,345,1393,11,245,612,134,42,0.175879396985,0.0961952620244,0.247666905958,0.27402700556,0.343862167983
palmr001,ferna001,42,16,49,R,0,9,34,7,palmr001_ferna001,0.380952380952,0.469387755102,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,780,227,871,8,127,484,91,22,0.145809414466,0.10447761194,0.260619977038,0.291025641026,0.365097588978
palmr001,finlc001,61,23,69,L,0,9,49,8,palmr001_finlc001,0.377049180328,0.449275362319,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,1868,508,2107,20,398,944,239,47,0.188894162316,0.113431419079,0.241101091599,0.271948608137,0.354532510679
palmr001,franr001,27,7,30,R,0,3,21,3,palmr001_franr001,0.259259259259,0.333333333333,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,981,272,1078,11,125,576,97,31,0.115955473098,0.0899814471243,0.252319109462,0.277268093782,0.342300556586
palmr001,garcf002,41,9,54,R,0,5,15,13,palmr001_garcf002,0.219512195122,0.407407407407,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,3151,894,3479,25,529,1843,328,89,0.152055188272,0.0942799655073,0.256970393791,0.283719454142,0.351250359299
palmr001,garlj001,19,8,26,R,0,1,26,7,palmr001_garlj001,0.421052631579,0.576923076923,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,3131,893,3431,49,404,1701,300,92,0.117749927135,0.0874380647042,0.260273972603,0.285212392207,0.347712037307
palmr001,goodd001,40,7,49,R,0,6,19,9,palmr001_goodd001,0.175,0.326530612245,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,525,147,584,4,105,273,59,14,0.179794520548,0.10102739726,0.251712328767,0.28,0.352739726027
palmr001,gordt001,55,12,72,R,1,7,16,17,palmr001_gordt001,0.218181818182,0.402777777778,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,1047,288,1236,10,207,514,189,30,0.167475728155,0.152912621359,0.233009708738,0.275071633238,0.385922330097
palmr001,groob001,31,5,35,L,1,5,7,4,palmr001_groob001,0.161290322581,0.257142857143,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,157,39,166,3,27,59,9,5,0.16265060241,0.0542168674699,0.234939759036,0.248407643312,0.289156626506
palmr001,grosk001,25,10,28,R,0,2,27,3,palmr001_grosk001,0.4,0.464285714286,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,431,113,484,6,82,190,53,13,0.169421487603,0.109504132231,0.23347107438,0.262180974478,0.342975206612
palmr001,guare001,27,7,29,L,0,6,13,2,palmr001_guare001,0.259259259259,0.310344827586,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,242,56,267,7,66,115,25,9,0.247191011236,0.0936329588015,0.209737827715,0.231404958678,0.303370786517
palmr001,gubim001,34,10,37,R,0,2,24,3,palmr001_gubim001,0.294117647059,0.351351351351,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,508,153,576,5,52,271,68,15,0.0902777777778,0.118055555556,0.265625,0.301181102362,0.383680555556
palmr001,guzmj003,48,13,59,R,0,5,17,11,palmr001_guzmj003,0.270833333333,0.406779661017,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,686,183,783,7,122,350,97,19,0.155810983397,0.123882503193,0.233716475096,0.266763848397,0.357598978289
palmr001,halaj001,26,8,29,L,1,1,24,3,palmr001_halaj001,0.307692307692,0.379310344828,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,468,147,523,3,56,279,55,17,0.10707456979,0.105162523901,0.281070745698,0.314102564103,0.386233269598
